time,battery_current(A),battery_voltage(V),controller_temperature(C),dump_load_current(A),output_current(A),solar_current(A),solar_voltage(V),total_solar_production(Wh),total_wind_turbine_production(Wh),wind_charge_current(A),wind_turbine(RPM),wind_voltage(V)
2020-08-02 06:00:00+03:00,-23.499999999999986,1468.100000000001,1641.6999999999998,0.0,20.9,0.7,1096.2999999999997,553889.0999999996,14173.699999999986,0.0,199,131.59999999999997
2020-08-02 07:00:00+03:00,13.00000000000001,1506.7999999999986,1700.3000000000004,0.0,0.0,13.00000000000001,1547.4000000000005,563573.1,14419.599999999986,0.1,83,48.099999999999994
2020-08-02 08:00:00+03:00,34.49999999999999,1546.3999999999996,1868.3999999999992,0.0,0.0,34.39999999999999,1585.0999999999992,573687.8,14663.999999999985,0.4,126,72.79999999999998
2020-08-02 09:00:00+03:00,69.5,1559.599999999999,1920.6000000000001,0.0,0.0,69.5,1602.1000000000006,575010.2999999998,14663.999999999985,0.6,330,153.00000000000006
2020-08-02 10:00:00+03:00,158.50000000000003,1575.5000000000007,2038.6999999999998,0.0,0.0,156.3000000000001,1626.8999999999999,577733.4000000001,14673.400000000016,2.3,360,236.60000000000002
2020-08-02 11:00:00+03:00,258.5999999999999,1594.5999999999997,2372.3,0.0,0.0,246.0,1650.5000000000007,583745.0999999999,14734.800000000005,12.999999999999996,964,427.80000000000007
2020-08-02 12:00:00+03:00,358.20000000000005,1625.1000000000001,2595.3999999999996,0.4,0.0,343.0000000000001,1682.6000000000004,591938.4000000004,14906.00000000001,19.100000000000005,774,373.50000000000006
2020-08-02 13:00:00+03:00,272.1,1687.1999999999991,2679.4,0.0,0.0,243.2,1993.8000000000002,601930.0999999997,14993.3,27.300000000000004,292,172.20000000000002
2020-08-02 14:00:00+03:00,58.1,1566.0,2424.0000000000005,0.0,0.0,45.69999999999997,2099.8,585429.0000000001,14500.0,21.1,0,49.4
2020-08-02 15:00:00+03:00,34.40000000000001,1566.0,2423.3,0.0,0.0,27.599999999999987,2100.900000000001,586700.0,14500.0,26.499999999999993,0,54.800000000000026
2020-08-02 16:00:00+03:00,25.79999999999998,1539.0,2364.300000000001,0.0,0.0,20.70000000000001,2048.8999999999996,577402.6000000001,14250.0,12.899999999999997,0,45.300000000000004
2020-08-02 17:00:00+03:00,21.69999999999999,1593.0,2458.8999999999996,0.0,0.0,17.00000000000001,2138.8999999999996,598289.0,14750.0,15.4,0,47.80000000000002
2020-08-02 18:00:00+03:00,11.99999999999999,1620.0,2429.5999999999995,0.0,0.0,11.99999999999999,2167.2000000000003,608919.0,15000.0,6.299999999999998,0,32.800000000000004
2020-08-02 19:00:00+03:00,11.59999999999999,1566.0,2196.2999999999997,0.0,0.0,11.59999999999999,2038.0,589028.9,14500.0,5.299999999999999,0,24.099999999999998
2020-08-02 20:00:00+03:00,-0.6999999999999971,1542.5000000000005,1970.5,0.4,15.200000000000001,4.199999999999999,1238.6999999999998,589307.5000000001,14508.50000000001,21.5,426,205.79999999999998
2020-08-02 21:00:00+03:00,-124.99999999999986,1518.0999999999985,1843.8000000000002,0.0,114.10000000000011,0.0,28.69999999999996,609642.0,15036.800000000017,2.3,185,90.6
2020-08-02 22:00:00+03:00,-123.89999999999986,1492.6999999999985,1741.3,0.0,112.10000000000011,0.0,25.99999999999998,599481.3,14791.300000000016,0.4,76,50.1
2020-08-02 23:00:00+03:00,-121.79999999999987,1467.3999999999985,1653.6000000000006,0.0,110.2000000000001,0.0,23.19999999999998,589320.6000000001,14540.600000000015,0.0,0,0.4
2020-08-03 00:00:00+03:00,-123.50000000000001,1462.9000000000017,1606.4,0.0,110.2000000000001,0.0,23.299999999999983,589320.6000000001,14540.600000000015,0.2,182,83.49999999999999
2020-08-03 01:00:00+03:00,-129.30000000000013,1486.8000000000015,1650.1,0.0,112.10000000000011,0.0,23.69999999999998,599481.3,14791.300000000016,0.2,135,66.8
2020-08-03 02:00:00+03:00,-123.70000000000002,1436.100000000001,1604.8999999999994,0.0,108.3000000000001,0.0,23.099999999999987,579159.9000000001,14291.40000000001,1.3,448,195.60000000000005
2020-08-03 03:00:00+03:00,-129.8000000000001,1480.899999999999,1652.600000000001,0.0,112.10000000000011,0.0,23.99999999999998,599481.3,14812.700000000013,0.30000000000000004,109,61.300000000000004
2020-08-03 04:00:00+03:00,-132.00000000000009,1505.9999999999989,1639.6999999999991,0.0,114.00000000000011,0.0,23.99999999999998,609642.0,15066.000000000015,0.6,137,74.7
2020-08-03 05:00:00+03:00,-129.8000000000001,1475.5,1578.5,0.0,112.10000000000011,0.0,25.199999999999996,599481.3,14814.900000000014,0.2,52,23.900000000000002
2020-08-03 06:00:00+03:00,-21.199999999999985,1468.600000000001,1498.9,0.0,19.0,0.7999999999999999,1128.9999999999995,589321.5000000006,14563.800000000014,0.5,233,97.9
2020-08-03 07:00:00+03:00,10.800000000000002,1532.3999999999983,1624.3999999999996,0.0,0.0,10.800000000000002,1571.8000000000018,609764.7999999999,15066.000000000015,0.7999999999999999,638,277.1
2020-08-03 08:00:00+03:00,19.799999999999994,1488.5000000000018,1755.4000000000005,0.0,0.0,19.799999999999994,1526.9000000000005,589805.1000000002,14571.899999999994,0.2,112,80.3
2020-08-03 09:00:00+03:00,39.80000000000001,1526.1000000000008,1947.6000000000004,0.3,0.0,37.20000000000001,1564.499999999999,600612.9999999998,14868.000000000007,10.1,621,281.00000000000006
2020-08-03 10:00:00+03:00,126.00000000000001,1311.9000000000003,1842.8999999999999,0.0,0.0,121.10000000000001,1350.8000000000004,510828.7,12717.20000000001,6.8999999999999995,1082,460.4000000000001
2020-08-03 11:00:00+03:00,286.4,1570.0000000000007,2386.5000000000005,0.3,0.0,269.9,1625.5000000000002,608476.3999999999,15351.300000000005,23.8,1116,502.40000000000003
2020-08-03 12:00:00+03:00,275.09999999999997,1189.3999999999999,1890.0999999999995,0.4,0.0,245.79999999999995,1231.3,459104.6000000001,11768.100000000002,34.699999999999996,1136,484.29999999999995
2020-08-03 13:00:00+03:00,227.50000000000003,1429.099999999999,2195.9000000000005,0.5,0.0,201.49999999999997,1684.6999999999998,532010.2,13575.0,12.3,0,37.1
2020-08-03 14:00:00+03:00,56.000000000000014,1620.1,2588.1000000000004,0.0,0.0,43.9,2175.400000000001,642115.3000000003,16290.0,12.2,0,44.30000000000001
2020-08-03 15:00:00+03:00,33.9,1620.0,2558.6,0.0,0.0,27.299999999999983,2171.100000000001,643335.3,16290.0,20.59999999999999,0,48.70000000000001
2020-08-03 16:00:00+03:00,27.299999999999965,1593.0,2456.799999999999,0.0,0.0,21.100000000000023,2143.2999999999997,633397.2,16018.5,15.000000000000002,0,48.6
2020-08-03 17:00:00+03:00,18.199999999999992,1539.0,2276.6,0.0,0.0,14.799999999999986,2081.9,612505.2000000002,15475.5,13.699999999999998,0,43.0
2020-08-03 18:00:00+03:00,11.99999999999999,1620.0,2269.0999999999995,0.0,0.0,11.99999999999999,2197.5000000000005,645195.9999999999,16290.0,16.299999999999994,0,54.29999999999999
2020-08-03 19:00:00+03:00,11.499999999999991,1593.0,2032.8000000000006,0.0,0.0,11.499999999999991,2091.9999999999995,634851.4,16018.5,8.499999999999998,0,40.2
2020-08-03 20:00:00+03:00,-14.799999999999999,1514.000000000001,1780.3,0.0,17.1,4.000000000000001,1189.9000000000003,613594.9,15480.800000000014,5.3,358,207.70000000000002
2020-08-03 21:00:00+03:00,-121.69999999999987,1467.3999999999985,1706.4999999999989,0.0,110.2000000000001,0.0,26.899999999999963,624370.0,15787.000000000016,0.8999999999999999,499,253.70000000000002
2020-08-03 22:00:00+03:00,-125.99999999999986,1517.9999999999984,1718.400000000001,0.0,114.00000000000011,0.0,25.899999999999984,645900.0,16332.000000000018,0.4,81,58.69999999999999
2020-08-03 23:00:00+03:00,-125.99999999999986,1517.9999999999984,1673.7000000000003,0.0,114.00000000000011,0.0,23.99999999999998,645900.0,16332.000000000018,0.0,0,0.0
2020-08-04 00:00:00+03:00,-125.20000000000012,1463.9000000000017,1522.0999999999995,0.0,110.2000000000001,0.0,24.599999999999977,624370.0,15787.600000000017,0.0,0,0.0
2020-08-04 01:00:00+03:00,-127.00000000000006,1461.6000000000015,1449.1999999999996,0.0,110.2000000000001,0.0,23.599999999999984,624370.0,15787.600000000017,0.0,0,0.0
2020-08-04 02:00:00+03:00,-129.7000000000001,1486.8000000000015,1433.099999999999,0.0,112.10000000000011,0.0,24.499999999999982,635135.0,16059.800000000017,0.0,0,0.0
2020-08-04 03:00:00+03:00,-125.4000000000001,1431.599999999999,1356.1999999999994,0.0,108.3000000000001,0.0,23.499999999999986,613605.0,15515.400000000016,0.0,0,0.0
2020-08-04 04:00:00+03:00,-132.00000000000009,1505.9999999999989,1403.7999999999997,0.0,114.00000000000011,0.0,27.400000000000002,645900.0,16332.000000000018,0.0,0,0.0
