time,battery_current(A),battery_temperature(C),battery_voltage(V),controller_temperature(C),daily_load_consumption(Wh),daily_solar_production(Wh),daily_wind_turbine_production(Wh),dump_load_current(A),load_voltage(V),output_current(A),solar_current(A),solar_voltage(V),total_load_consumption(Wh),total_solar_production(Wh),total_wind_turbine_production(Wh),wind_charge_current(A),wind_turbine(RPM),wind_voltage(V)
2020-08-26 07:00:00+03:00,3.5000000000000013,1426.9000000000003,1504.1999999999998,1570.8999999999996,0,8,0,0,1427.6000000000001,0.0,3.5000000000000013,1759.1999999999996,282093,452362,0,0,0,0.30000000000000004
2020-08-26 08:00:00+03:00,20.1,1518.5000000000005,1487.3,1604.6999999999994,0,325,0,0,1470.2000000000005,0.0,18.300000000000004,1898.5999999999997,287042,445015,0,0,0,0.5
2020-08-26 09:00:00+03:00,52.599999999999994,1800.3000000000004,1544.2000000000005,1884.3000000000004,0,1298,0,0,1534.6000000000004,0.0,44.6,1956.9000000000003,291991,453657,0,0,0,0.6
2020-08-26 10:00:00+03:00,189.6,2028.5999999999997,1573.9000000000008,2229.8,0,4380,0,0,1573.7,0.0,160.70000000000002,1895.6999999999998,291991,456738,0,0,0,2.700000000000001
2020-08-26 11:00:00+03:00,277.6999999999999,2237.9000000000005,1617.8000000000002,2495.0000000000005,0,11026,0,0,1629.8000000000002,0.0,239.3,1899.0,291991,463388,0,0,0,4.8
2020-08-26 12:00:00+03:00,169.2,2224.9000000000005,1662.200000000001,2437.3,0,17440,0,0,1603.3000000000009,0.0,147.0,1953.3,272195,454463,0,0,0,2.3000000000000007
2020-08-26 13:00:00+03:00,58.49999999999994,2264.399999999999,1703.200000000001,2406.900000000001,0,20818,0,0,1635.100000000001,0.0,51.20000000000002,2039.6,277144,465507,0,0,0,0.4
2020-08-26 14:00:00+03:00,35.1,2351.8,1756.400000000001,2483.2,0,22971,0,0,1689.6999999999998,0.0,30.9,2136.3999999999996,287042,482997,0,0,269,58.6
2020-08-26 15:00:00+03:00,21.100000000000005,2153.5000000000005,1636.3000000000004,2273.7000000000007,0,22696,0,0,1594.9999999999998,0.0,17.900000000000002,2088.7999999999993,277144,459718,0,0,910,179.50000000000003
2020-08-26 16:00:00+03:00,1.5000000000000002,1974.5000000000005,1430.8,2065.8000000000006,0,21342,0,0,1415.5999999999997,0.0,1.4000000000000001,1965.3999999999999,262297,427694,23,0,1447,270.49999999999994
